"","weight_id","Percent","field_last_day","N"
"1","W6",0.004521148225803,2017-12-19,1
"2","W7",0.0123440977981362,2018-04-04,2
"3","W16",0.0114169026056673,2018-04-22,3
"4","W8",0.00988346899493135,2018-07-08,4
"5","W9",0.00913809848126919,2018-12-20,5
"6","W10",0.0089573183586648,2019-04-15,6
"7","W22",0.00892643179841634,2019-05-14,7
"8","W17",0.0273205436463595,2019-06-11,8
"9","W11",0.00125137957576017,2019-07-29,9
"10","W21",0.0232833032646322,2019-10-14,10
"11","W14",0.0212572966519789,2019-11-04,11
"12","W19",0.0213899680555398,2019-11-23,12
"13","W12",0.0208235516514803,2019-12-13,13
"14","W13",0.0208235516514803,2019-12-13,14
"15","W23",0.0284236242487093,2020-01-20,15
"16","W25",0.0279487907758765,2020-01-22,16
"17","W24",0.0299809921960217,2020-02-05,17
"18","W18",0.0479550190522711,2020-02-28,18
"19","W26",0.0130923310113707,2020-04-07,19
"20","W20",0.0336703673620497,2020-05-19,20
"21","W27",0.0112258552672983,2020-05-31,21
"22","W30",0.0275430661566125,2020-07-02,22
"23","W28",0.0355739917900605,2020-07-13,23
"24","W29",0.0180079710620908,2020-07-16,24
"25","W31",0.0430306927702352,2020-07-24,25
"26","W34",0.0175398290736577,2020-08-11,26
"27","W36",0.0275650425698473,2020-08-21,27
"28","W33",0.0293076096243428,2020-08-28,28
"29","W32",0.0341007937298235,2020-09-02,29
"30","W35",0.0362181795719548,2020-09-07,30
"31","W37",0.0306280650720859,2020-09-18,31
"32","W41",0.0308117788480418,2020-09-29,32
"33","W38",0.0417251718587031,2020-10-01,33
"34","W39",0.029932043078669,2020-10-07,34
"35","W42",0.042659145318284,2020-10-14,35
"36","W40",0.0420952087835478,2020-10-15,36
"37","W43",0.03905066595227,2020-10-20,37
"38","W45",0.03905066595227,2020-10-20,38
"39","W44",0.0486501623390621,2020-10-25,39
